"number","title","pageid","namespace","length","touched"
"526","Leaf_protein_concentrate","3043713","","5260","20160606003310"
"527","Nutrition_and_pregnancy","3055427","","21249","20160614065717"
"528","Medical_care_ratio","3057007","","1152","20160526130603"
"529","Organic_feeding_disorders","3065711","","642","20160526130603"
"530","Movember","3069166","","28813","20160606003310"
"531","Baxter_Althane_disaster","3085232","","2016","20160606003310"
"532","Right_to_health","3085490","","30953","20160610064634"
"533","Academy_of_Nutrition_and_Dietetics","3088926","","41510","20160617165542"
"534","Alma_Ata_Declaration","3092471","","7254","20160507005824"
"535","Long-term_care","3118704","","26445","20160606003310"
"536","Natural_foods","3133549","","10828","20160606003310"
"537","Masculine_psychology","3135680","","20771","20160617165542"
"538","Child_mortality","3141410","","12914","20160617063118"
"539","Blood_lead_level","3152388","","15633","20160619112141"
"540","Health_promotion","3158172","","43425","20160619074913"
"541","Pay_for_performance_(healthcare)","3160607","","25287","20160606003310"
"542","Alcohol_and_health","3187155","","36267","20160618182537"
"543","Health_effects_of_wine","3187173","","41898","20160619024537"
"544","Patient_information_leaflet","3218135","","1611","20160405084207"
"545","Proximate","3232045","","2718","20160606003310"
"546","Cell_Computing","3255644","","1054","20160615011707"
"547","Health_technology","3255966","","4460","20160611121023"
"548","High-altitude_cerebral_edema","3256943","","20233","20160609065719"
"549","Decidua","3258771","","7141","20160617165542"
"550","Dry_enema","3275308","","3738","20160612140740"
"551","Mobile_phones_and_driving_safety","3280194","","41544","20160618113309"
"552","Hazard_analysis","3292213","","9416","20160606003310"
"553","Continuing_education_unit","3294201","","1959","20160617165542"
"554","Polyunsaturated_fatty_acid","3321981","","8022","20160606003310"
"555","Infection_control","3331179","","29740","20160607140827"
"556","Snoezelen","3331474","","5509","20160606003310"
"557","Certified_nurse_midwife","3340717","","4565","20160606003310"
"558","Pooper-scooper","3396759","","8542","20160606003310"
"559","Critical_illness_insurance","3417428","","14746","20160617165542"
"560","Four-step_impact_assessment","3424303","","5507","20151009112230"
"561","Nutrition_facts_label","3426093","","27342","20160616222956"
"562","Superfood","3426171","","20917","20160619162006"
"563","Folk_healer","3433583","","6558","20160607214604"
"564","Spermatorrhea","3442553","","4432","20160619162006"
"565","Alliin","3444669","","4867","20160611110630"
"566","National_health_insurance","3454452","","12159","20160616221101"
"567","Testicular_pain","3481900","","9422","20160618152249"
"568","Health_information_exchange","3492512","","38393","20160617165542"
"569","Nuchal_cord","3496404","","11605","20160614070648"
"570","Mental_health_consumer","3512186","","2537","20160526130603"
"571","Health_effects_of_tobacco","3585815","","137598","20160616221101"
"572","Peer_support","3609555","","41239","20160616221101"
"573","Global_spread_of_H5N1","3627082","","41567","20160610162232"
"574","Kuwait_Central_Blood_Bank","3627921","","1972","20160606003310"
"575","Ancestry-informative_marker","3636956","","2479","20160430085628"
"576","Micro-enterprise","3667854","","13831","20160617233554"
"577","Building_biology","3672935","","5311","20160617165542"
"578","Isosorbide_dinitrate/hydralazine","3694563","","10714","20160617183724"
"579","Inclusive_recreation","3718054","","6626","20150720180311"
"580","Virtual_patient","3775889","","10273","20160606003310"
"581","Social_role_valorization","3791975","","27203","20160617165542"
"582","Hand_sanitizer","3829190","","41138","20160609223629"
"583","Human_male_sexuality","3845894","","10979","20160617165542"
"584","Social_determinants_of_health","3875331","","40799","20160606003310"
"585","Commotio_cordis","3881345","","13557","20160606065530"
"586","Marion_Nestle","3909610","","11132","20160617165542"
"587","Traditional_birth_attendant","3910156","","22893","20160606003310"
"588","Body_fat_percentage","3937909","","28382","20160615211035"
"589","Medical_transcription","3940866","","30788","20160612140740"
"590","Radiation_Exposure_Compensation_Act","3969384","","12998","20160606003310"
"591","Health_21","3979517","","4451","20151212163453"
"592","Person-centred_planning","3991823","","27056","20160508225548"
"593","Information_continuity","4011165","","2511","20160612140740"
"594","Vitality","4021184","","2839","20160606003310"
"595","Boil-water_advisory","4044047","","3121","20160618143622"
"596","Neuroimmunology","4052447","","23105","20160614211431"
"597","Phosphatidylserine","4053538","","16042","20160615001018"
"598","Health_care_prices_in_the_United_States","4085676","","10708","20160617170347"
"599","Chronic_mountain_sickness","4092962","","5993","20160606222818"
"600","Medically_indigent_adult","4093601","","2018","20160526130603"
"601","List_of_smoking_bans","4124046","","145812","20160619234916"
"602","Sociological_illness","4138102","","877","20160617165542"
"603","Disability-adjusted_life_year","4144577","","19072","20160606003310"
"604","Clinical_Information_Access_Portal","4149813","","1058","20160612140740"
"605","Schofield_equation","4150495","","4740","20160606003310"
"606","EcoHealth","4151398","","18920","20160617165542"
"607","Minimum_Data_Set","4163498","","1879","20160612140740"
"608","Clinical_Global_Impression","4174601","","2437","20160612183201"
"609","University_of_Washington_Department_of_Global_Health","4212753","","8034","20160617014145"
"610","Moral_insanity","4257788","","18069","20160606003310"
"611","Perinatal_mortality","4265185","","6750","20160616222956"
"612","Health_impact_assessment","4279531","","22993","20160606003310"
"613","List_of_cigarette_smoke_carcinogens","4319477","","3387","20160606003310"
"614","Atwater_system","4330820","","11856","20160606003310"
"615","Hygiene_(Commerce_and_Offices)_Convention,_1964","4350411","","3463","20160526130603"
"616","Inclusion_(education)","4378212","","68475","20160606003310"
"617","Michel_Odent","4430238","","4031","20160617165542"
"618","Medical_logic_module","4438288","","1413","20160606003310"
"619","Rexona","4443701","","3954","20160616072740"
"620","Health_effects_from_noise","4450529","","30607","20160616222956"
"621","Bradley_method_of_natural_childbirth","4458300","","4961","20160606003310"
"622","Patient_administration_system","4466364","","2678","20160612140740"
"623","Clinical_data_repository","4466421","","5531","20160606003310"
"624","Telerehabilitation","4490456","","19262","20160617165542"
"625","Dangerous_Goods_Safety_Advisor","4492992","","2507","20160612140740"
"626","Social_effects_of_H5N1","4515987","","18612","20160606003310"
"627","Sheila_Kitzinger","4528748","","4534","20160617165542"
"628","Fundal_height","4545160","","3133","20160612140740"
"629","Rowett_Research_Institute","4566207","","3143","20160612140740"
"630","Clinical_engineering","4593785","","14694","20160617165542"
"631","Workplace_violence","4614170","","16605","20160616221513"
"632","Medical_integration_environment","4634766","","689","20160617165542"
"633","Diseases_of_poverty","4637216","","47603","20160617165542"
"634","Epidemiological_transition","4639874","","12103","20160606003310"
"635","Advanced_maternal_age","4690137","","20045","20160606003310"
"636","Sexual_function","4693569","","2836","20160606003310"
"637","Testicular_microlithiasis","4693638","","3880","20160606003310"
"638","Third-party_administrator","4694327","","4634","20160606003310"
"639","Reproductive_system_disease","4703626","","4571","20160606003310"
"640","Men's_health","4720254","","5691","20160619162006"
"641","Men's_Health_Forum","4720897","","2487","20160617165542"
"642","Normalization_(people_with_disabilities)","4740018","","33192","20160603174351"
"643","Bipolar_disorder_research","4761886","","12907","20160606003310"
"644","Bioelectrical_impedance_analysis","4784165","","12099","20160614064110"
"645","Patriotic_Health_Campaign","4792624","","760","20160526130603"
"646","Gib_Clarke","4826654","","1819","20160229042759"
"647","Clinical_research","4857593","","5395","20160616221101"
"648","Self_care","4875080","","15379","20160616221101"
"649","Public_health_informatics","4905289","","12948","20160617165542"
"650","Exposure_science","4906070","","1686","20160606003310"
"651","Virtual_Health_Library","4911401","","3484","20160612140740"
"652","National_Day_of_Mourning_(Canadian_observance)","4931001","","7841","20160606001544"
"653","Mandated_reporter","4974742","","3924","20160616221101"
"654","International_Midwives'_Day","4997892","","1165","20160606003310"
"655","Nutrient_density","5007230","","10124","20160609054910"
"656","Defensive_medicine","5007629","","7477","20160430085628"
"657","Alberta_Eugenics_Board","5008078","","18944","20151018171039"
"658","Men's_role_in_childbirth","5023197","","6221","20160614071941"
"659","Multiple_complex_developmental_disorder","5053548","","5599","20160614071941"
"660","HIV/AIDS","5069516","","161597","20160618175357"
"661","Fat_tax","5075621","","21414","20160619162006"
"662","International_Sanitary_Conferences","5127022","","6650","20160613065156"
"663","Inverse_care_law","5152675","","2726","20160606003310"
"664","Laboratory_informatics","5167532","","5267","20160614071941"
"665","Telemental_health","5182459","","7361","20160427063452"
"666","Special_needs","5201509","","4800","20160612140740"
"667","Oncomodulin","5258008","","7976","20160613202918"
"668","Franklin_D._Roosevelt's_paralytic_illness","5263684","","46716","20160610023914"
"669","Indices_of_deprivation_2004","5266320","","7356","20160105133425"
"670","Deinstitutionalisation","5270402","","52122","20160616221101"
"671","Nancy-Ann_DeParle","5272692","","9183","20160617165542"
"672","Disability_management_program","5273119","","3738","20160612192119"
"673","Prehensile_feet","5288720","","1526","20160612140740"
"674","Systemic_disease","5325318","","5574","20160608204021"
"675","Workplace_wellness","5367458","","24972","20160614161115"
"676","Fee-for-service","5370913","","17819","20160606003310"
"677","Sex_and_drugs","5384623","","4384","20160617165542"
"678","Supported_living","5391428","","32402","20160612140740"
"679","The_Organon_of_the_Healing_Art","5461643","","10207","20160617165542"
"680","Mental_environment","5465057","","1675","20160606003310"
"681","Microgreen","5470358","","13395","20160612140740"
"682","Vaginal_tightening","5475175","","11058","20160619091424"
"683","Attraction_to_disability","5491859","","22118","20160617165542"
"684","Disability_pretender","5495959","","3026","20160121204335"
"685","AIDS_education_and_training_centers","5511581","","5481","20160612192119"
"686","Vincent_van_Gogh's_health","5555420","","30400","20160606003310"
"687","Auditory_integration_training","5570588","","8940","20160606003310"
"688","Safe_bottle_lamp","5584134","","3236","20160612140740"
"689","British_Journal_of_Sexual_Medicine","5585159","","1548","20160617165542"
"690","Delivery_after_previous_Caesarean_section","5592849","","27368","20160606003310"
"691","Sitting_disability","5597968","","7182","20151006170722"
"692","Recommended_maximum_intake_of_alcoholic_beverages","5600440","","21954","20160616221101"
"693","Continua_Health_Alliance","5627634","","7285","20160617165542"
"694","Environment,_health_and_safety","5639702","","7960","20160616221101"
"695","Sudden_cardiac_death","5696267","","10221","20160617165542"
"696","Kick_chart","5696586","","2220","20160606003310"
"697","Peptide_YY","5708805","","15487","20160617144701"
"698","Salma_Kikwete","5718706","","3496","20160617165542"
"699","Information_therapy","5721938","","1071","20160606003310"
"700","Wildfire_suppression","5722819","","32444","20160616221101"
"701","National_AIDS_Control_Programme","5741749","","771","20160526130603"
"702","Bhore_Committee","5796304","","4373","20160606003310"
"703","NHS_24","5807567","","6753","20160606003310"
"704","Insulin_index","5816458","","11162","20160606003310"
"705","Utilization_management","5875254","","5825","20160606003310"
"706","Medical_case_management","5875638","","2204","20160612140740"
"707","URAC","5875875","","7007","20160617165542"
"708","Language-learning_aptitude","5906669","","6991","20160425031511"
"709","Men's_Health_Network","5921044","","5355","20150331205340"
"710","Patient_safety_organization","5928345","","52842","20160617165542"
"711","Landscape_epidemiology","5939070","","2081","20160518103444"
"712","Refeeding_syndrome","5953219","","7508","20160616050707"
"713","Ethnic_bioweapon","5975230","","8841","20160615152042"
"714","Complete_protein","5978246","","9409","20160606003310"
"715","List_of_additives_in_cigarettes","6003061","","19240","20160530150017"
"716","Direct_support_professional","6003729","","8302","20160612192119"
"717","Cooling_center","6039094","","1751","20160606003310"
"718","Convalescence","6045553","","1187","20160612140740"
"719","Workers'_Memorial_Day","6068435","","13051","20160606003310"
"720","Package_insert","6077451","","8916","20160606003310"
"721","Neglected_tropical_diseases","6090525","","65155","20160612161415"
"722","Pyelectasis","6110182","","1707","20160526130603"
"723","Sports_nutrition","6112487","","16264","20160617165542"
"724","Spastic_diplegia","6115887","","2175","20160610065724"
"725","Space_food","6117013","","25623","20160606003310"
"726","Virtual_reality_in_telerehabilitation","6129664","","11060","20160606003310"
"727","Mental_health_professional","6134342","","65081","20160617114238"
"728","Health_professional","6142110","","29237","20160616221101"
"729","1,2-Dibromo-3-chloropropane","6159580","","12147","20160611110630"
"730","Assertive_community_treatment","6159646","","47609","20160618220719"
"731","Satisfaction_with_Life_Index","6160174","","11346","20160618173424"
"732","Incidents_at_Six_Flags_parks","6165734","","52414","20160619162006"
"733","Rurality","6189024","","1833","20160526130603"
"734","Health_literacy","6199182","","36249","20160609223654"
"735","Insite","6220860","","41576","20160617165542"
"736","National_Prostate_Health_Month","6227706","","4030","20160308110142"
"737","Happy_Planet_Index","6251000","","12616","20160608142429"
"738","Collective_mental_state","6252373","","2200","20160526130603"
"739","Staff_grade","6263517","","1662","20160617114238"
"740","Delayed_ejaculation","6333799","","8250","20160617152540"
"741","Occupational_hazard","6389808","","6778","20160619162006"
"742","Mental_health_counselor","6393112","","6599","20160617165542"
"743","Sugar_tit","6399233","","1861","20160612191209"
"744","Health_regions_of_Canada","6401338","","5290","20160525131313"
"745","Obstetric_Flying_Squad","6427233","","3022","20160322074011"
"746","Disease_informatics","6428331","","819","20160610210527"
"747","Multiple_morbidities","6428816","","1649","20160612140740"
"748","Diplomatic_illness","6451880","","1069","20160606003310"
"749","Biological_value","6503821","","24242","20160608003203"
"750","Protein_(nutrient)","6531493","","38694","20160616235159"
"751","Centre_for_Reviews_and_Dissemination","6580964","","6656","20151004201855"
"752","WHO_Collaborating_Centres","6629974","","2138","20140521203940"
"753","Group_home","6632841","","45292","20160619162006"
"754","Health_law","6635442","","7323","20160606003310"
"755","European_Prospective_Investigation_into_Cancer_and_Nutrition","6646507","","10756","20160606003310"
"756","ISOFT","6661019","","12613","20160617165542"
"757","Subclinical_infection","6689642","","16810","20160611111822"
"758","Exposure_assessment","6690902","","19598","20160606003310"
"759","Pre-conception_counseling","6706723","","8972","20160612140740"
"760","Global_burden_of_disease","6716259","","6996","20160612140740"
"761","Notifiable_disease","6747510","","7232","20160619162006"
"762","Health_information_management","6748115","","24392","20160618134414"
"763","Component_causes","6762402","","814","20160526130603"
"764","Non-communicable_disease","6780123","","23604","20160616221101"
"765","List_of_awareness_ribbons","6804644","","46278","20160617165542"
"766","Angak","6819854","","1051","20160612140740"
"767","Quickening","6823521","","7044","20160616221101"
"768","Having_a_Great_Birth_in_Australia","6832724","","3096","20160617165542"
"769","Acacia_concinna","6834103","","5201","20160606003310"
"770","Ultraviolet_germicidal_irradiation","6907585","","33559","20160616221101"
"771","Paddington_alcohol_test","6943948","","4520","20160606003310"
"772","Concept_Processing","6949803","","3572","20160612140740"
"773","Pharmacoeconomics","6989424","","3074","20160617165542"
"774","HealthTeacher","6991499","","5485","20160617165542"
"775","Dark_therapy","6997434","","7495","20160606003310"
"776","List_of_foodborne_illness_outbreaks","7003999","","1750","20160612234303"
"777","Rolls_Razor","7021089","","11541","20160612140740"
"778","Enterprise_master_patient_index","7043609","","7265","20160430085628"
"779","Overcrowding","7048545","","7329","20160606003310"
"780","Positive_deviance","7057945","","19346","20160611120052"
"781","Child_and_Youth_Care","7072022","","10093","20160525221035"
"782","Protein_combining","7092020","","9750","20160616221101"
"783","Sick_leave","7102636","","62724","20160616221101"
"784","Meteoropathy","7136150","","3005","20160617165542"
"785","Ovid_Technologies","7145951","","5134","20160512154653"
"786","Reverse_quarantine","7152698","","508","20160617165542"
"787","Muslim_hygienical_jurisprudence","7155421","","7399","20160612140740"
"788","Attack_rate","7157316","","2457","20160617165542"
"789","Patient-reported_outcome","7183423","","24936","20160616221101"
"790","Impact_of_nanotechnology","7200558","","49541","20160617031658"
"791","Nesfatin-1","7247837","","17069","20160606003310"
"792","Sanitary_sewer_overflow","7250472","","12888","20160606003310"
"793","Disease_burden","7257968","","24756","20160609161124"
"794","Health_advocacy","7323614","","25815","20160606003310"
"795","Implantation_(human_embryo)","7357937","","22807","20160612140740"
"796","Public_analyst","7362920","","7053","20160430064954"
"797","Outline_of_nutrition","7371778","","15786","20160613065156"
"798","EudraVigilance","7437427","","2366","20160612140740"
"799","Befriender","7447065","","3180","20160609151646"
"800","Chronic_care","7472359","","9216","20160614071819"
"801","Compounding","7521201","","39751","20160616221101"
"802","Healthism","7531458","","4894","20160404172239"
"803","Psychiatric_survivors_movement","7532615","","41408","20160616221101"
"804","Islamic_toilet_etiquette","7560516","","4195","20160613174116"
"805","Trans-Proteomic_Pipeline","7633054","","4848","20160606003310"
"806","Outline_of_health","7646602","","6390","20160613065156"
"807","Biblioteca_Virtual_en_Salud","7676662","","1834","20160606003310"
"808","Health_consumerism","7694739","","1060","20160526130603"
"809","E-patient","7742604","","10655","20160606003310"
"810","Crown-rump_length","7759491","","4458","20160612192119"
"811","Health_effects_arising_from_the_September_11_attacks","7770119","","70651","20160616222956"
"812","Salt_equivalent","7802803","","958","20160606003310"
"813","Happy_life_expectancy","7872153","","5857","20160617165542"
"814","David_Sackett","7946408","","12756","20160617235331"
"815","Hot_work","7953167","","2112","20160619162006"
"816","Hispanic_paradox","7963692","","21873","20160607140827"
"817","Orchialgia","7981926","","3475","20160606003310"
"818","List_of_universities_with_accredited_dietetic_programs","7984981","","13864","20160609112638"
"819","Patient_diary","7997813","","1849","20160319230032"
"820","Saprotrophic_nutrition","8031008","","6673","20160614100242"
"821","Maternal_health","8053575","","53076","20160616221101"
"822","Social_medicine","8071055","","4302","20160617165542"
"823","VERB_(program)","8194266","","2677","20160606003310"
"824","GoPubMed","8283008","","1510","20160606003310"
"825","CANOSH","8297339","","1054","20130630080513"
"826","Extension_Scouting","8298398","","1884","20160613191307"
"827","Party_and_play","8306877","","14726","20160606003310"
"828","Participatory_ergonomics","8306996","","7686","20160606003310"
"829","Condoms,_needles,_and_negotiation","8313008","","2098","20160526130603"
"830","Refractory_period_(sex)","8390103","","11871","20160612015358"
"831","Sanitary_engineering","8416361","","3881","20160617165542"
"832","Occupational_medicine","8417064","","9047","20160617165542"
"833","Localized_disease","8430609","","1413","20140521203940"
"834","Globalization_and_disease","8430768","","38326","20160615235614"
"835","Common_disease-common_variant","8476844","","8716","20160606003310"
"836","Pseudonymization","8543665","","5764","20160606003310"
"837","Recovery_approach","8600080","","38234","20160606003310"
"838","Guidelines_International_Network","8625779","","7466","20160617165542"
"839","Safety_statement","8629598","","2326","20160612140740"
"840","Health_policy","8695082","","24152","20160617180251"
"841","Eucharius_Rösslin","8725668","","4825","20160617165542"
"842","List_of_incidents_at_independent_amusement_parks","8765242","","51782","20160616222956"
"843","Perceptual_noise_exclusion_hypothesis","8766922","","3954","20160606003310"
"844","Public_health_genomics","8767449","","35530","20160606003310"
"845","Specific-pathogen-free","8769106","","3525","20160612140740"
"846","Environmental_health_officer","8774042","","15494","20160606003310"
"847","Dental_tourism","8785316","","10600","20160612140740"
"848","Pharmaceutical_sciences","8799237","","3165","20160612140740"
"849","School_health_and_nutrition_services","8807637","","7402","20160617165542"
"850","Drug_Abuse_Warning_Network","8810434","","4924","20160612140740"
"851","Rope_access","8822890","","8104","20160605213903"
"852","Epidemic_model","8823400","","19135","20160606003310"
"853","National_minimum_dataset","8830624","","879","20160617165542"
"854","Feminine_psychology","8837954","","17971","20160617165542"
"855","Herbert_William_Heinrich","8843965","","8471","20160617165542"
"856","Blue_Zone","8859825","","7620","20160611001923"
"857","Joseph_LaDou","8873167","","4068","20160617165542"
"858","Rural_health","8954400","","44339","20160606003310"
"859","Mad_Pride","8977613","","9325","20160606003310"
"860","Computer-aided_diagnosis","9034035","","22701","20160619162006"
"861","Triplegia","9047100","","2669","20160606003310"
"862","Interesterified_fat","9057034","","12476","20160617170411"
"863","Portable_appliance_testing","9090858","","25105","20160617165542"
"864","Effects_of_high_altitude_on_humans","9091093","","24946","20160610094910"
"865","Blood_sugar_regulation","9125999","","11168","20160606003310"
"866","Tacpac","9143229","","3506","20160614010950"
"867","MRC_Mitochondrial_Biology_Unit","9185785","","5196","20160617165542"
"868","International_Union_of_Nutritional_Sciences","9226972","","3729","20160617165542"
"869","Therapeutic_relationship","9271237","","6093","20160524061632"
"870","Pandemic_severity_index","9291245","","9444","20160610162232"
"871","Clinic_management_system","9341141","","2199","20160430085628"
"872","Challenging_behaviour","9386670","","8072","20160608023919"
"873","Degreasing","9422422","","6198","20160612140740"
"874","Stachybotrys","9486251","","7529","20160606003310"
"875","Time-trade-off","9528195","","1849","20160606003310"
"876","Healthcare_proxy","9541887","","6507","20160614070041"
"877","Right_to_know","9543027","","48539","20160611111822"
"878","Special_needs_plan","9559841","","1856","20160612140740"
"879","Parity_of_esteem","9579546","","4891","20160606003310"
"880","Steam_room","9626912","","1396","20160612140740"
"881","Behavioral_psychotherapy","9633446","","7079","20160427063452"
"882","Disease_transmission","9639056","","86","20160616083942"
"883","Vitamin_C_megadosage","9651482","","24657","20160615163332"
"884","Nutritionism","9670604","","5735","20160606003310"
"885","Light_curtain","9766574","","2579","20160617045716"
"886","Disease_cluster","9781137","","977","20160430085628"
"887","Race_and_health","9819863","","54686","20160616221101"
"888","Spermarche","10016622","","2722","20160526130603"
"889","Dish_(food)","10052801","","1903","20160612140740"
"890","Cost-minimization_analysis","10089999","","1497","20160618073736"
"891","Pharmaceutical_publication_planning","10147095","","4831","20160606003310"
"892","LGBTI_Health_Summit","10151201","","2510","20160612140740"
"893","Certified_safety_professional","10193102","","8110","20160427063452"
"894","Trimethylamine_N-oxide","10289579","","13532","20160611110630"
"895","Lead_safe_work_practices","10309729","","2714","20160512153044"
"896","C-DAC_Thiruvananthapuram","10320419","","8734","20160612192119"
"897","Manual_handling_of_loads","10367580","","5318","20160606003310"
"898","Hazards_(magazine)","10381331","","7037","20160617165542"
"899","Accessible_toilet","10411026","","3025","20160613174116"
"900","Birth_attendant","10466053","","4363","20160325053806"
"901","William_Cumin_(obstetrician)","10520312","","2110","20160526130603"
"902","Penile_prosthesis","10525403","","8993","20160614071941"
"903","Medical_literature_retrieval","10525892","","2288","20160525100006"
"904","Polizeiwissenschaft","10581710","","2484","20160224223708"
"905","Diet_and_cancer","10588046","","37219","20160614184143"
"906","James_Thornton_(health_economist)","10633394","","1657","20160617165542"
"907","Perspective_(pharmacoeconomic)","10669964","","2234","20160617165542"
"908","Treatment_IND","10723871","","1333","20160526130603"
"909","Vaginal_deodorant","10794512","","495","20160612140740"
"910","Childbirth_positions","10828129","","6726","20160606003310"
"911","Retiree_Drug_Subsidy","10874556","","1555","20160526130603"
"912","Brevibacterium_iodinum","10898964","","1415","20160612140740"
"913","Anal_cleansing","10903919","","11059","20160616222956"
"914","Health_services_research","10942453","","8281","20160619162006"
"915","Jonathan_Fielding","11010654","","12445","20160619162006"
"916","Health_administration","11038718","","10121","20160619162006"
"917","Pharmaconomist","11050654","","7301","20160529192633"
"918","Job_safety_analysis","11056914","","20520","20160614071941"
"919","Peonidin","11058727","","5463","20160611110630"
"920","MedInfo","11059367","","7446","20160614113644"
"921","Porphyromonas_gingivalis","11062043","","25884","20160612224258"
"922","Injury_prevention","11087129","","7255","20160619162006"
"923","Mercer_Quality_of_Living_Survey","11157271","","11979","20160610210455"
"924","Strengths_and_Difficulties_Questionnaire","11196670","","13077","20160617165542"
"925","National_Survey_of_Sexual_Attitudes_and_Lifestyles","11211918","","3935","20160606003310"
"926","Ubiquinol","11212543","","9022","20160611110630"
"927","Management_services_organization","11284901","","2360","20160612140740"
"928","CAVEman","11428320","","899","20160612140740"
"929","CapOpus","11456872","","2995","20160609152117"
"930","Work_method_statement","11643397","","1833","20160606003310"
"931","Safe_Work_Procedure","11643542","","1756","20160303153614"
"932","Microinsurance","11644470","","12759","20160606003310"
"933","Healthy_Skepticism","11691353","","4014","20160617165542"
"934","School_Health_Education_Study","11724224","","8683","20160606003310"
"935","Elizabeth_Mataka","11732903","","1279","20160606003310"
"936","Lieve_Fransen","11738837","","7984","20160617165542"
"937","Gurgle","11756407","","4880","20160328230415"
"938","Patient_education","11780498","","6881","20160606003310"
"939","International_Health_Regulations","11827668","","5843","20160426050048"
"940","Billy's_Bootcamp","11874234","","2353","20160606003310"
"941","Protein_dispersibility_index","11960698","","2376","20160606003310"
"942","Sociological_and_cultural_aspects_of_autism","11996900","","48170","20160616222956"
"943","National_Fire_Fighter_Near-Miss_Reporting_System","12038713","","9719","20160617165542"
"944","Welfare,_Choice_and_Solidarity_in_Transition","12135807","","1266","20160606003310"
"945","Human_penis","12137890","","66095","20160617165542"
"946","Toilet_rim_block","12192441","","2548","20160606003310"
"947","Choice_USA","12194086","","9542","20160618105152"
"948","Psychoeducation","12221090","","6575","20160427063452"
"949","Dance_and_health","12223156","","27246","20160619163531"
"950","VistA_imaging","12223381","","6280","20160606003310"
"951","Control_banding","12310114","","3916","20160606003310"
"952","Mold_growth,_assessment,_and_remediation","12315477","","21437","20160617165542"
"953","Hearing_conservation_program","12319714","","16327","20160614053418"
"954","Effective_safety_training","12337960","","13000","20160612140740"
"955","Food_contaminant","12376746","","14134","20160617165542"
"956","Personal_care","12408344","","2578","20160619002612"
"957","Where-to-be-born_Index","12419529","","10551","20160617072228"
"958","Pelvic_girdle_pain","12459821","","20730","20160606003310"
"959","Testicular_rupture","12514501","","2713","20160606003310"
"960","Testicular_trauma","12514563","","1664","20160612140740"
"961","Sustainable_sanitation","12530019","","13290","20160616222956"
"962","Medical_food","12571217","","8923","20160606003310"
"963","Zafrullah_Chowdhury","12593652","","6040","20160617165542"
"964","Lactivism","12612736","","2926","20160526130603"
"965","Pre-labor","12636929","","1721","20160528190654"
"966","Partogram","12667763","","3718","20160606003310"
"967","GMFA","12668040","","9488","20160619162006"
"968","National_Agricultural_Safety_Database","12732613","","1805","20151214162159"
"969","Pregnant_patients'_rights","12751414","","7397","20160606003310"
"970","Muesli_belt_malnutrition","12935452","","1309","20160606003310"
"971","Occupational_exposure_limit","12982124","","6670","20160606003310"
"972","Remote_guidance","13006382","","3257","20160328214530"
"973","Clinical_prediction_rule","13041496","","6292","20160619201645"
"974","International_healthcare_accreditation","13061359","","23980","20160606003310"
"975","Prince_Mahidol_Award","13093214","","13613","20160617165542"
"976","Nutritional_rating_systems","13115986","","15224","20160617165542"
"977","List_of_counseling_topics","13139134","","3131","20160517002153"
"978","Electrically_conducting_yarn","13206885","","1469","20160526130603"
"979","Practice-based_commissioning","13213821","","2473","20160606003310"
"980","Nutrition_scale","13295189","","639","20160612140740"
"981","Mindset_Network","13305310","","1981","20160612140740"
"982","Therapy","13311819","","25892","20160617165542"
"983","Global_mental_health","13312969","","12839","20160606003310"
"984","Chief_Medical_Officer","13324187","","1409","20160430085628"
"985","Radiobiology","13347268","","17388","20160617165542"
"986","PDHPE","13350625","","1129","20160612192119"
"987","Mental_Disability_Rights_International","13351269","","12629","20160324223318"
"988","Personal_health_application","13358411","","2104","20160617165542"
"989","Midwives_Act_1902","13376157","","2548","20160110065925"
"990","Literatura_Latino-Americana_e_do_Caribe_em_Ciências_da_Saúde","13392418","","1018","20160612140740"
"991","North_American_Occupational_Safety_and_Health_Week","13418661","","2356","20160420222453"
"992","Choosing_Healthplans_All_Together","13503544","","8987","20160430085628"
"993","Clinical_coder","13522147","","16874","20160606003310"
"994","Peer_support_specialist","13535002","","11017","20160513163527"
"995","Body_volume_index","13561502","","8723","20160617165542"
"996","Specific_inhalation_challenge","13566197","","4216","20160606003310"
"997","Young_worker_safety_and_health","13587755","","15976","20160606003310"
"998","Obesogen","13649448","","55896","20160606003310"
"999","Legality_of_euthanasia","13662713","","40181","20160619175026"
"1000","Relaxology","13667694","","476","20160526130603"
"1001","Animal_nutritionist","13826991","","2959","20150927062216"
"1002","High-altitude_flatus_expulsion","13901787","","2422","20160606003310"
"1003","Healthy_development_measurement_tool","13915509","","13445","20160612140740"
"1004","Molecular_epidemiology","13924377","","11134","20160617165542"
"1005","CLP_Regulation","13941004","","7566","20160612140740"
"1006","Stefka_Petrova","13986603","","1314","20160617165542"
"1007","Sinalbin","14020163","","2278","20160611110630"
"1008","Gluconasturtiin","14020590","","3105","20160611110630"
"1009","Sakis_Rouvas","14058397","","165248","20160619152102"
"1010","Asynclitic_birth","14058492","","2813","20160606003310"
"1011","Blood_lipids","14066715","","10178","20160606003310"
"1012","Flame_arrester","14124460","","7234","20160615154416"
"1013","Acronyms_in_healthcare","14129618","","20551","20160616231508"
"1014","Infant_mental_health","14177853","","5497","20160612140740"
"1015","Occupational_rehabilitation","14220245","","4849","20160606001544"
